AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
;0;;;;0,0156;25,49019623;64;100;801;7,849999905;22;-0,0078;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;0,0156;25,49019623;64;100;803;7,889999866;22;-0,0156;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;;;;;0,0273;25,88235283;64;100;800;7,769999981;22;-0,0273;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;;;;;0,0391;25,88235283;64;100;798;7,769999981;22;-0,0273;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;0,0469;25,88235283;65;100;798;7,940000057;22;-0,0312;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;1,576259971;;;1,576259971;0,0586;25,88235283;65;100;799;7,900000095;21;-0,0391;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0,90072;;;-0,675539971;0,0742;25,49019623;65;100;798;7,900000095;22;-0,0469;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;1,576259971;;;0,675539971;0,0937;26,27450943;65;100;799;7,800000191;22;-0,0469;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;1,35108006;;;-0,225179911;0,1055;25,88235283;65;100;801;8,06000042;22;-0,043;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,7000122;1,576259971;;;0,225179911;0,1094;25,49019623;65;100;802;7,53000021;22;-0,0352;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,7999878;0;;;-1,576259971;0,1211;25,49019623;65;101;799;7,610000134;22;-0,0391;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-2,2000122;0,45036;;;0,45036;0,1367;25,88235283;65;100;799;7,820000172;21;-0,043;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-3;0;;;-0,45036;0,1445;25,49019623;65;100;798;7,960000038;22;-0,0391;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-2,7999878;0;;;0;0,168;25,09803963;65;100;806;8,020000458;22;-0,0469;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
